createTimeISO,Likes,text,uniqueId,videoWebUrl,Sentiment,Sentiment_category,topic_id,topic_name
2024-08-01,15,sprinkle restock,jane6122,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,3,"Packaging, Restock, and Timing"
2024-08-02,23,restock,tangerineskylight,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,3,"Packaging, Restock, and Timing"
2024-08-01,1,havent got confirmation email,smra.xs,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,1,Orders Inquiry or Customer Serivce
2024-08-01,31,day asking restock toasted teddy,ellie_luvsu1,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,4,Product Interest and Orders
2024-08-02,20,restock pls,whoslinnyy,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,11,Positive Reviews and Wishes
2024-08-01,9,guess wasnt meant get bc already sold,meganrizzz,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,4,Product Interest and Orders
2024-08-02,0,dose anyone know found rhode la stores name,goldiazn,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,6,Hailey Bieber & Rhode
2024-08-01,28,restock asp,stephanie0za,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,3,"Packaging, Restock, and Timing"
2024-08-02,14,restock sprinkle,sarapanwar99,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,3,"Packaging, Restock, and Timing"
2024-08-01,6,wait get mines website right time ordered sprinkle blu,sonakaz,https://www.tiktok.com/@rhode/video/7398218317787368735,0.2857142857142857,Positive,3,"Packaging, Restock, and Timing"
2024-08-01,14,please bring back didnt get chance purchase,sofiarosvi,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,12,Requests to bring back Lip Tints
2024-08-01,32,sold,ohdiormodel,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,1,Orders Inquiry or Customer Serivce
2024-08-01,7,restock sprinkle pls,acourtofsparkles,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,11,Positive Reviews and Wishes
2024-08-01,5,restock please,mimisicons,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,12,Requests to bring back Lip Tints
2024-08-01,6,soo excited get mine,crystalc.bay,https://www.tiktok.com/@rhode/video/7398218317787368735,0.375,Positive,5,Excitement for New Products
2024-08-02,5,went buy sprinkle second got email already sold begging restock,murphyshammermomma,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,1,Orders Inquiry or Customer Serivce
2024-08-02,6,bring back pls,thenotoriousnef,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,12,Requests to bring back Lip Tints
2024-08-01,3,love color,eli01446,https://www.tiktok.com/@rhode/video/7398218317787368735,0.5,Strongly Positive,11,Positive Reviews and Wishes
2024-08-01,2,got mine right,wicnevisnxksk78,https://www.tiktok.com/@rhode/video/7398218317787368735,0.2857142857142857,Positive,1,Orders Inquiry or Customer Serivce
2024-08-02,2,please restock toasted teddy,kellyliang00,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,12,Requests to bring back Lip Tints
2024-08-01,1,right shopping cart,hi_hej_hey,https://www.tiktok.com/@rhode/video/7398218317787368735,0.2857142857142857,Positive,9,Need for Rhode Products and Brand Love
2024-08-01,2,rhode best,fernanda.gonzalez841,https://www.tiktok.com/@rhode/video/7398218317787368735,1.0,Strongly Positive,3,"Packaging, Restock, and Timing"
2024-08-01,2,love wait use pocket blow sprinkle first one order think,user3618012093324,https://www.tiktok.com/@rhode/video/7398218317787368735,0.375,Positive,7,Positive Sentiment & Product Appreciation
2024-08-01,1,ordered sprinkle wait get,na.taty,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral,3,"Packaging, Restock, and Timing"
2024-08-04,0,restock pls love shade much,amiurshawty,https://www.tiktok.com/@rhode/video/7398218317787368735,0.35,Positive,11,Positive Reviews and Wishes
